Designator,Footprint,Quantity,Value,LCSC Part #
AE1,ANT-SMD_L3.2-W1.6,1,2450AT18A100E,C89334
"C1, C13, C14, C15, C17, C2, C22, C3, C4, C5",0201,10,100nF,C76939
"C10, C19, C21, C8, C9",0201,5,1uF,C76935
"C11, C12",0402,2,10uF,C15525
C16,0201,1,470nF,C304534
C18,0201,1,1nF,C80390
C20,0201,1,220pF,C14856
"C6, C7",0201,2,18pF,C62164
D1,LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B,1,XL-1010RGBC-WS2812B,C5349953
JP1,RF-SMD_FRF05002-JSS103M,1,U.FL-R-SMT-1(80),C88374
OSC1,OSC-SMD_4P-L2.0-W1.6-BL_TXC_7Z,1,OW7EL89CENUNFAYLC-52M,C22434896
"R1, R2, R3, R4",0201,4,10k,C100126
TP1,SolderPad_1.0x1.5mm,1,RX,
TP2,SolderPad_1.0x1.5mm,1,TX,
TP3,SolderPad_1.0x1.5mm,1,5V,
TP4,SolderPad_1.0x1.5mm,1,GND,
U1,QFN-32_L5.0-W5.0-P0.50-TL-EP3.7,1,ESP32-C3FH4,C2858491
U2,X2SON-4_L1.0-W1.0-P0.65-TL-EP,1,TLV75533PDQNR,C2861882
U3,QFN-24_L4.0-W4.0-P0.50-TL-EP2.6,1,SX1281IMLTRT,C2151551
U4,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,1,RFX2401C,C19213
USB1,FILTER-SMD_4P-L1.0-W0.5-L_DEA102700LT-XXX,1,DEA102700LT-6307A2,C574024
X1,CRYSTAL-SMD_4P-L1.6-W1.2-BL,1,CJ17-400001010B20,C2875272
