Designator,Mid X,Mid Y,Rotation,Layer
AE1,180.12,-99.43,270.0,bottom
C1,180.72,-96.505,90.0,bottom
C10,187.17,-98.64,180.0,top
C11,187.435,-97.355,90.0,top
C12,185.56,-99.5,90.0,top
C13,180.41,-99.61,0.0,top
C14,186.74,-96.96,270.0,top
C15,184.03,-98.96,180.0,top
C16,181.54,-93.8,180.0,top
C17,181.2,-95.02,90.0,top
C18,180.73,-96.31,0.0,top
C19,181.66,-100.03,270.0,bottom
C2,180.12,-96.51,90.0,bottom
C20,180.725,-91.18,90.0,top
C21,180.725,-89.805,270.0,top
C22,186.75,-92.025,180.0,top
C3,187.13,-95.46,270.0,bottom
C4,187.12,-94.045,90.0,bottom
C5,182.685,-92.97,0.0,bottom
C6,182.265,-100.025,270.0,bottom
C7,183.91,-101.11,0.0,bottom
C8,179.98,-94.51,270.0,bottom
C9,186.36,-99.72,90.0,top
D1,186.76,-90.87,270.0,top
JP1,185.63,-87.725,270.0,top
OSC1,180.35,-97.98,90.0,top
R1,180.58,-94.51,90.0,bottom
R2,184.12,-92.97,180.0,bottom
R3,185.98,-92.96,0.0,bottom
R4,180.37,-95.51,180.0,bottom
TP1,182.345,-101.855,180.0,top
TP2,179.895,-101.855,180.0,top
TP3,184.67,-101.81,0.0,top
TP4,187.12,-101.81,0.0,top
U1,183.95,-96.2,270.0,bottom
U2,187.305,-99.715,270.0,top
U3,183.95,-96.2,90.0,top
U4,182.95,-90.125,90.0,top
USB1,183.7,-92.88,90.0,top
X1,183.56,-100.03,180.0,bottom
