"#","Reference","Qty","Value","Footprint","DNP","LCSC","LCSC Part","Manufacturer","MPN"
"1","AE1","1","2450AT18A100E","OpenRX-Shared:ANT-SMD_L3.2-W1.6","","C89334","C89334","",""
"2","AE2","1","47948-0001","OpenRX-Shared:ANT-SMD_47948-0001","","C152351","C152351","",""
"3","C1, C2, C3, C4, C5, C13, C14, C15, C17, C20","10","100nF","Capacitor_SMD:C_0201_0603Metric","","C76939","","",""
"4","C6, C7","2","18pF","Capacitor_SMD:C_0201_0603Metric","","C62164","","",""
"5","C8, C9, C10, C19","4","1uF","Capacitor_SMD:C_0201_0603Metric","","C76935","","",""
"6","C11, C12","2","10uF","Capacitor_SMD:C_0402_1005Metric","","C15525","","",""
"7","C16","1","470nF","Capacitor_SMD:C_0201_0603Metric","","C85926","","",""
"8","C18","1","1nF","Capacitor_SMD:C_0201_0603Metric","","C66942","","",""
"9","D1","1","XL-1010RGBC-WS2812B","OpenRX-Shared:LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B","","C5349953","C5349953","",""
"10","L","1","24nH","Inductor_SMD:L_0201_0603Metric","","C206441","","",""
"11","OSC1","1","OW7EL89CENUNFAYLC-52M","OpenRX-Shared:OSC-SMD_4P-L2.0-W1.6-BL_TXC_7Z","","C22434896","C22434896","",""
"12","R1, R2, R3, R4","4","10k","Resistor_SMD:R_0201_0603Metric","","C106225","","",""
"13","TP1","1","RX","OpenRX-Shared:SolderPad_1.0x1.5mm","","","","",""
"14","TP2","1","TX","OpenRX-Shared:SolderPad_1.0x1.5mm","","","","",""
"15","TP3","1","5V","OpenRX-Shared:SolderPad_1.0x1.5mm","","","","",""
"16","TP4","1","GND","OpenRX-Shared:SolderPad_1.0x1.5mm","","","","",""
"17","U1","1","ESP32-C3FH4","OpenRX-Shared:QFN-32_L5.0-W5.0-P0.50-TL-EP3.7","","C2858491","C2858491","",""
"18","U2","1","TLV75533PDQNR","OpenRX-Shared:X2SON-4_L1.0-W1.0-P0.65-TL-EP","","C2861882","C2861882","",""
"19","U3","1","SX1281IMLTRT","OpenRX-Shared:QFN-24_L4.0-W4.0-P0.50-TL-EP2.6","","C2151551","C2151551","",""
"20","USB1","1","DEA102700LT-6307A2","OpenRX-Shared:FILTER-SMD_4P-L1.0-W0.5-L_DEA102700LT-XXX","","C574024","C574024","",""
"21","X1","1","CJ17-400001010B20","OpenRX-Shared:CRYSTAL-SMD_4P-L1.6-W1.2-BL","","C2875272","C2875272","",""
