"#","Reference","Qty","Value","Footprint","DNP","LCSC","LCSC Part","Manufacturer","MPN"
"1","AE1","1","2450AT18A100E","OpenRX-Shared:ANT-SMD_L3.2-W1.6","","C89334","C89334","",""
"2","C1, C2, C3, C4, C5, C21, C22, C23, C24","9","100nF","Capacitor_SMD:C_0201_0603Metric","","C76939","","",""
"3","C6, C7","2","18pF","Capacitor_SMD:C_0201_0603Metric","","C62164","","",""
"4","C8, C9, C10, C19, C26","5","1uF","Capacitor_SMD:C_0201_0603Metric","","C76935","","",""
"5","C11, C12","2","10uF","Capacitor_SMD:C_0402_1005Metric","","C15525","","",""
"6","C13","1","10pF","Capacitor_SMD:C_0201_0603Metric","","C20069240","","",""
"7","C20","1","4.7uF","Capacitor_SMD:C_0402_1005Metric","","C23733","","",""
"8","C25","1","220pF","Capacitor_SMD:C_0201_0603Metric","","C62548","","",""
"9","D1","1","XL-1010RGBC-WS2812B","OpenRX-Shared:LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B","","C5349953","C5349953","",""
"10","JP1, JP2","2","U.FL-R-SMT-1(80)","OpenRX-Shared:RF-SMD_FRF05002-JSS103M","","C88374","C88374","",""
"11","L1","1","10uH","Inductor_SMD:L_0603_1608Metric","","C6808014","","",""
"12","L2","1","24nH","Inductor_SMD:L_0201_0603Metric","","C206441","","",""
"13","R1, R2, R3, R4","4","10k","Resistor_SMD:R_0201_0603Metric","","C106225","","",""
"14","R5, R7","2","100k","Resistor_SMD:R_0201_0603Metric","","C270364","","",""
"15","R6","1","220R","Resistor_SMD:R_0201_0603Metric","","C274342","","",""
"16","T1","1","0900PC16J0042001E","OpenRX-Shared:FILTER-SMD_10P-L2.0-W1.6-BL","","C19842466","C19842466","",""
"17","TP1","1","RX","OpenRX-Shared:SolderPad_1.0x1.5mm","","","","",""
"18","TP2","1","TX","OpenRX-Shared:SolderPad_1.0x1.5mm","","","","",""
"19","TP3","1","5V","OpenRX-Shared:SolderPad_1.0x1.5mm","","","","",""
"20","TP4","1","GND","OpenRX-Shared:SolderPad_1.0x1.5mm","","","","",""
"21","U1","1","ESP32-C3FH4","OpenRX-Shared:QFN-32_L5.0-W5.0-P0.50-TL-EP3.7","","C2858491","C2858491","",""
"22","U2","1","TLV75533PDQNR","OpenRX-Shared:X2SON-4_L1.0-W1.0-P0.65-TL-EP","","C2861882","C2861882","",""
"23","U3","1","RFX2401C","OpenRX-Shared:QFN-16_L3.0-W3.0-P0.50-BL-EP1.7","","C19213","C19213","",""
"24","U4","1","LR1121IMLTRT","OpenRX-Shared:QFN-32_L5.0-W5.0-P0.50-BL-EP3.7","","C7498014","C7498014","",""
"25","U5","1","OW2EL89CENUXFMYLC-32M","OpenRX-Shared:OSC-SMD_4P-L3.2-W2.5-BL","","C22434888","C22434888","",""
"26","USB1","1","DEA102700LT-6307A2","OpenRX-Shared:FILTER-SMD_4P-L1.0-W0.5-L_DEA102700LT-XXX","","C574024","C574024","",""
"27","X1","1","CJ17-400001010B20","OpenRX-Shared:CRYSTAL-SMD_4P-L1.6-W1.2-BL","","C2875272","C2875272","",""
