LCSC	MPN	PriceUSD	Availability	Inventory	Description
C106225	RC0201FR-0710KL	0.0006	InStock	1342400	50mW 10kΩ 25V Thick Film Resistor ±1% ±200ppm/℃ 0201 Chip Resistor - Surface Mount RoHS
C152351	479480001	0.7028	InStock	18195	RF ANTENNA 2.4G Surface Mount,3.2x4mm
C15525	CL05A106MQ5NUNC	0.0037	InStock	2592700	10uF ±20% 6.3V Ceramic Capacitor X5R 0402
C19213	RFX2401C	0.5059	InStock	59827	2V~3.6V ZigBee 2.4GHz~2.5GHz QFN-16-EP(3x3) RF Front End (LNA + PA) RoHS
C19842466	0900PC16J0042001E	0.5236	OutOfStock	0	10dB 868MHz~928MHz 1dB 50Ω:50Ω Balun RoHS
C20069240	CGA0201C0G100J500ET	0.0003	InStock	69600	10pF ±5% 50V Ceramic Capacitor C0G 0201
C206441	LQP03TN24NH02D	0.0050	InStock	8600	140mA 24nH 2.3Ω Thick Film Inductor ±3% 0201 Fixed Inductors RoHS
C2151551	SX1281IMLTRT	2.2643	InStock	1168	2Mbps -132dBm 2.4GHz~2.5GHz 2.4GHz 1.8V~3.7V QFN-24-EP(4x4) RF Transceiver ICs RoHS
C22434888	OW2EL89CENUXFMYLC-32M	0.4605	InStock	2782	32MHz SMD3225-4P Oscillators RoHS
C22434896	OW7EL89CENUNFAYLC-52M	0.4208	InStock	12605	52MHz SMD2016-4P Oscillators RoHS
C23733	CL05A475MP5NRNC	0.0028	InStock	2177450	4.7uF ±20% 10V Ceramic Capacitor X5R 0402
C270364	0201WMF1003TEE	0.0005	InStock	2096600	100kΩ ±1% 50mW 0201 Thick Film Resistor
C274342	RC0201FR-07220RL	0.0006	OutOfStock	0	50mW 220Ω 25V Thick Film Resistor ±1% ±200ppm/℃ 0201 Chip Resistor - Surface Mount RoHS
C2858491	ESP32-C3FH4	1.5592	InStock	1783	QFN-32-EP(5x5) RF Transceiver Modules and Modems RoHS
C2861882	TLV75533PDQNR	0.0915	InStock	2610	Linear Voltage Regulator IC Positive Fixed 1 Output 500mA X2-SON-4-EP(1x1)
C2875272	CJ17-400001010B20	0.1484	InStock	15	Crystal 40MHz ±10ppm 10pF SMD1612-4P
C5349953	XL-1010RGBC-2812B	0.0395	InStock	1045460	SMD,1x1mm LED Addressable, Specialty RoHS
C574024	DEA102700LT-6307A2	0.0544	InStock	5385	50Ω 0.45dB SMD-4P,1x0.5mm RF Filters RoHS
C62164	0201CG180J500NT	0.0004	InStock	280900	18pF ±5% 50V Ceramic Capacitor C0G 0201
C62548	0201B221K500NT	0.0004	InStock	209600	220pF ±10% 50V Ceramic Capacitor X7R 0201
C66942	0201B102K500NT	0.0004	InStock	537800	1nF ±10% 50V Ceramic Capacitor X7R 0201
C6808014	AHW1608FE100KTF	0.0174	InStock	39500	280mA 10uH 2.4Ω Wire-wound chip inductor ±10% 0603 Fixed Inductors RoHS
C7498014	LR1121IMLTRT	3.0399	InStock	1439	101.5Kbps -108dBm 1.8V~3.7V QFN-32-EP(5x5) RF Transceiver ICs RoHS
C76935	GRM033R61A105ME44D	0.0016	InStock	676000	1uF ±20% 10V Ceramic Capacitor X5R 0201
C76939	GRM033R61E104KE14D	0.0018	InStock	1336800	100nF ±10% 25V Ceramic Capacitor X5R 0201
C85926	GRM033R60J474KE90D	0.0014	InStock	508900	470nF ±10% 6.3V Ceramic Capacitor X5R 0201
C88374	U.FL-R-SMT-1(80)	0.0769	InStock	243610	Connector Receptacle IPEX Male Pin 50Ω Surface Mount
C89334	2450AT18A100E	0.3117	InStock	3385	RF ANTENNA 2.4G Surface Mount 1206
